"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2020 00:30:00 - 02/01/2020 00:45:00","BZN|DE-LU","Sequence Sequence 1","35.40","",""
"02/01/2020 00:30:00 - 02/01/2020 00:45:00","BZN|DE-LU","Sequence Sequence 2","20.20","",""
"02/01/2020 00:45:00 - 02/01/2020 01:00:00","BZN|DE-LU","Sequence Sequence 1","35.40","",""
"02/01/2020 00:45:00 - 02/01/2020 01:00:00","BZN|DE-LU","Sequence Sequence 2","4.50","",""
"02/01/2020 01:00:00 - 02/01/2020 01:15:00","BZN|DE-LU","Sequence Sequence 1","31.98","",""
"02/01/2020 01:00:00 - 02/01/2020 01:15:00","BZN|DE-LU","Sequence Sequence 2","30.84","",""
"02/01/2020 01:15:00 - 02/01/2020 01:30:00","BZN|DE-LU","Sequence Sequence 1","31.98","",""
"02/01/2020 01:15:00 - 02/01/2020 01:30:00","BZN|DE-LU","Sequence Sequence 2","22.71","",""
"02/01/2020 01:30:00 - 02/01/2020 01:45:00","BZN|DE-LU","Sequence Sequence 1","31.98","",""
"02/01/2020 01:30:00 - 02/01/2020 01:45:00","BZN|DE-LU","Sequence Sequence 2","14.20","",""
"02/01/2020 01:45:00 - 02/01/2020 02:00:00","BZN|DE-LU","Sequence Sequence 1","31.98","",""
"02/01/2020 01:45:00 - 02/01/2020 02:00:00","BZN|DE-LU","Sequence Sequence 2","6.98","",""
"02/01/2020 02:00:00 - 02/01/2020 02:15:00","BZN|DE-LU","Sequence Sequence 1","30.50","",""
"02/01/2020 02:00:00 - 02/01/2020 02:15:00","BZN|DE-LU","Sequence Sequence 2","25.07","",""
"02/01/2020 02:15:00 - 02/01/2020 02:30:00","BZN|DE-LU","Sequence Sequence 1","30.50","",""
"02/01/2020 02:15:00 - 02/01/2020 02:30:00","BZN|DE-LU","Sequence Sequence 2","19.90","",""
"02/01/2020 02:30:00 - 02/01/2020 02:45:00","BZN|DE-LU","Sequence Sequence 1","30.50","",""
"02/01/2020 02:30:00 - 02/01/2020 02:45:00","BZN|DE-LU","Sequence Sequence 2","16.40","",""
"02/01/2020 02:45:00 - 02/01/2020 03:00:00","BZN|DE-LU","Sequence Sequence 1","30.50","",""
"02/01/2020 02:45:00 - 02/01/2020 03:00:00","BZN|DE-LU","Sequence Sequence 2","14.93","",""
"02/01/2020 03:00:00 - 02/01/2020 03:15:00","BZN|DE-LU","Sequence Sequence 1","28.79","",""
"02/01/2020 03:00:00 - 02/01/2020 03:15:00","BZN|DE-LU","Sequence Sequence 2","16.41","",""
"02/01/2020 03:15:00 - 02/01/2020 03:30:00","BZN|DE-LU","Sequence Sequence 1","28.79","",""
"02/01/2020 03:15:00 - 02/01/2020 03:30:00","BZN|DE-LU","Sequence Sequence 2","16.09","",""
"02/01/2020 03:30:00 - 02/01/2020 03:45:00","BZN|DE-LU","Sequence Sequence 1","28.79","",""
"02/01/2020 03:30:00 - 02/01/2020 03:45:00","BZN|DE-LU","Sequence Sequence 2","15.05","",""
"02/01/2020 03:45:00 - 02/01/2020 04:00:00","BZN|DE-LU","Sequence Sequence 1","28.79","",""
"02/01/2020 03:45:00 - 02/01/2020 04:00:00","BZN|DE-LU","Sequence Sequence 2","16.70","",""
"02/01/2020 04:00:00 - 02/01/2020 04:15:00","BZN|DE-LU","Sequence Sequence 1","28.42","",""
"02/01/2020 04:00:00 - 02/01/2020 04:15:00","BZN|DE-LU","Sequence Sequence 2","13.71","",""
"02/01/2020 04:15:00 - 02/01/2020 04:30:00","BZN|DE-LU","Sequence Sequence 1","28.42","",""
"02/01/2020 04:15:00 - 02/01/2020 04:30:00","BZN|DE-LU","Sequence Sequence 2","15.03","",""
"02/01/2020 04:30:00 - 02/01/2020 04:45:00","BZN|DE-LU","Sequence Sequence 1","28.42","",""
"02/01/2020 04:30:00 - 02/01/2020 04:45:00","BZN|DE-LU","Sequence Sequence 2","21.20","",""
"02/01/2020 04:45:00 - 02/01/2020 05:00:00","BZN|DE-LU","Sequence Sequence 1","28.42","",""
"02/01/2020 04:45:00 - 02/01/2020 05:00:00","BZN|DE-LU","Sequence Sequence 2","24.82","",""
"02/01/2020 05:00:00 - 02/01/2020 05:15:00","BZN|DE-LU","Sequence Sequence 1","28.75","",""
"02/01/2020 05:00:00 - 02/01/2020 05:15:00","BZN|DE-LU","Sequence Sequence 2","13.61","",""
"02/01/2020 05:15:00 - 02/01/2020 05:30:00","BZN|DE-LU","Sequence Sequence 1","28.75","",""
"02/01/2020 05:15:00 - 02/01/2020 05:30:00","BZN|DE-LU","Sequence Sequence 2","14.80","",""
"02/01/2020 05:30:00 - 02/01/2020 05:45:00","BZN|DE-LU","Sequence Sequence 1","28.75","",""
"02/01/2020 05:30:00 - 02/01/2020 05:45:00","BZN|DE-LU","Sequence Sequence 2","24.77","",""
